shiftname,start time,end time,length,date,route,department
Service2 AM,6:54,11:54,5,2/17/15,,Service
Service1 AM,7:00,10:49,3.75,2/18/15,,Service
Service1 PM,14:34,18:57,4.5,2/18/15,,Service
39-2 AM, 7:40,11:45,4,2/20/15,39,Bus
Service1 AM,7:00,11:01,4,2/25/15,,Service
Service1 PM,14:58,18:59,4,2/25/15,,Service
39-2 AM, 7:40,11:45,4,2/27/15,39,Bus
Service2 PM,13:00,15:59,3,3/1/15,,Service
Service2 AM,6:57,12:27,5.5,3/2/15,,Service
39-2 AM, 7:40,11:45,4,3/6/15,39,Bus
Service2 PM,12:56,16:02,3,3/8/15,,Service
39-2 AM,7:40,11:45,4,3/13/15,39,Bus
31-1 AM, 6:51,11:22,4.5,3/14/15,31,Bus
31-1 MID,11:31,15:21,3.75,3/15/15,31,Bus
SERVICE1 AM,7:04,10:57,4,3/16/15,,Service
33-2 AM, 7:21,10:42,3.25,3/17/15,33,Bus
SERVICE1 PM,11:00,14:58,4,3/17/15,,Service
SERVICE2 AM,7:10,10:58,3.75,3/18/15,,Service
SERVICE2 PM,15:09,19:07,4,3/18/15,,Service
SERVICE2 AM,7:00,11:00,4,3/19/15,,Service
SERVICE2 MID,11:00,14:52,3.75,3/19/15,,Service
SERVICE2 AM,6:57,11:00,4,3/20/15,,Service
SERVICE2 MID,11:00,15:00,4,3/20/15,,Service
SERVICE2 PM,12:55,16:04,3.25,3/22/15,,Service
Service2 AM,7:04,10:57,4,3/23/15,,Service
Service1 AM,7:08,10:49,3.75,3/25/15,,Service
Service1 PM,15:04,17:37,2.5,3/25/15,,Service
Service2 PM,13:00,16:09,3.25,3/29/15,,Service
Service1 AM,7:00,13:00,6,4/1/15,,Service
Service1 PM,14:58,18:59,4,4/1/15,,Service
39-2 AM, 7:40,11:45,4,4/3/15,39,Bus
39-1 EVE,20:20,26:35:00,6.25,4/4/15,39,Bus
Service2 PM,13:02,16:30,3.5,4/5/15,,Service
Service2 AM,7:03,10:58,4,4/6/15,,Service
Service1 AM,7:05,10:53,3.75,4/8/15,,Service
Service1 PM,14:58,18:59,4,4/8/15,,Service
39-2 AM, 7:40,11:45,4,4/10/15,39,Bus
